장소명,위도,경도,카테고리
서부시장,35.810360,127.126169,관광명소
완산 벙커 더 스페이스,35.811474,127.142649,관광명소
서학동예술마을,35.813144,127.148828,관광명소
전동성당,35.816764,127.148485,관광명소
한벽굴(한벽터널),35.817042,127.160501,관광명소
전주향교,35.817320,127.156381,관광명소
남부시장,35.818156,127.146768,관광명소
풍남문,35.818712,127.146768,관광명소
자만동 벽화마을,35.818712,127.155695,관광명소
한벽당,35.818712,127.162218,관광명소
금성당,35.820661,127.141962,관광명소
오목대,35.820661,127.152948,관광명소
전주 경기전,35.821218,127.148828,관광명소
이목대,35.821496,127.155008,관광명소
기린봉,35.821496,127.167025,관광명소
전라감영,35.822610,127.144709,관광명소
전주 한옥마을,35.822610,127.154665,관광명소
전주난장,35.823445,127.155008,관광명소
한국전통문화전당,35.825394,127.147455,관광명소
전주 영화의거리,35.825950,127.144709,관광명소
객리단길,35.826229,127.139902,관광명소
동문예술거리추진단,35.828177,127.146768,관광명소
전주한옥 레일바이크,35.835794,127.174926,관광명소
전주동물원,35.859069,127.144709,관광명소
전주드림랜드,35.863799,127.141275,관광명소
팔복예술공장,35.867138,127.100763,관광명소
한국도로공사 전주수목원,35.874927,127.055101,관광명소
완산공원,35.808690,127.139902,공원
전주천 남천교(청연루),35.815928,127.153292,공원
기린공원,35.818156,127.167368,공원
아중호수,35.829337,127.176519,공원
전주 덕진공원,35.853225,127.121363,공원
오송제 생태공원,35.865747,127.139215,공원
세병공원,35.881604,127.129602,공원
백석공원,35.885498,127.124452,공원
전주천벚꽃길,35.886889,127.090807,공원
삼례문화예술촌,35.911084,127.067804,공원
국립전주박물관,35.805349,127.090464,박물관
서학동사진미술관,35.813423,127.149858,박물관
국립무형유산원,35.814815,127.160501,박물관
전주자연생태관,35.816485,127.161188,박물관
어진박물관,35.820383,127.150202,박물관
전주공예품전시관,35.822053,127.153292,박물관
전주전통술박물관,35.822053,127.154322,박물관
교동미술관,35.822331,127.150202,박물관
전주한지박물관,35.853225,127.098017,박물관
학산숲속시집작은도서관,35.786049,127.143082,도서관
서학예술마을도서관,35.811807,127.150807,도서관
살림책방,35.814034,127.155099,도서관
책방토닥토닥,35.814173,127.147717,도서관
일요일의 침대,35.815705,127.144284,도서관
다가여행자도서관,35.817653,127.142911,도서관
책보책방,35.817793,127.146344,도서관
카프카,35.818071,127.145486,도서관
한옥마을도서관,35.819463,127.153210,도서관
동문헌책도서관,35.821412,127.150807,도서관
책기둥 도서관,35.827675,127.149434,도서관
물결서사,35.828093,127.146344,도서관
청동북카페,35.835190,127.104802,도서관
연화정 도서관,35.851471,127.122311,도서관
진까,35.833904,127.113781,음식점
다가수산,35.884484,127.129887,음식점
마중,35.884869,127.154071,음식점
지복점,35.885567,127.144191,음식점
자매갈비전골,35.886628,127.120516,음식점
한국닭집,35.896762,127.146821,음식점
다가양조장,35.901456,127.134912,음식점
오원집 본점,35.901682,127.107805,음식점
하숙영가마솥비빔밥,35.901994,127.156782,음식점
비레레,35.902763,127.148537,음식점
온담 전주본점,35.904134,127.161849,음식점
가마,35.905485,127.126813,음식점
베테랑 칼국수,35.906924,127.189875,음식점
전주왱이콩나물국밥전문점,35.907367,127.149158,음식점
해율담,35.909190,127.131567,음식점
금암피순대,35.909596,127.165799,음식점
한국집,35.909990,127.148224,음식점
일품향,35.911193,127.137304,음식점
현대옥 전주본점,35.913224,127.111651,음식점
연지본관,35.913632,127.131234,음식점
또순이네집,35.915693,127.130850,음식점
덕천식당,35.915954,127.129159,음식점
전주식당,35.919647,127.091658,음식점
태평집,35.920278,127.141556,음식점
노벨반점,35.920463,127.166039,음식점
금암소바,35.923100,127.116706,음식점
구프오프 본점,35.929093,127.120226,음식점
경아분식,35.929633,127.150269,음식점
라디앙뜨,35.931877,127.135626,음식점
조점례남문피순대,35.932733,127.147074,음식점
규카츠정,35.932882,127.190602,음식점
기찻길옆오막살이,35.935538,127.175387,음식점
대보장(大寶莊),35.935917,127.161334,음식점
진미집 본점,35.938119,127.109462,음식점
고궁 전주본점,35.943514,127.108430,음식점
큰집피순대,35.946341,127.039526,음식점
삼백집 본점,35.946900,127.097071,음식점
호남각,35.958457,127.086225,음식점
다가연어,35.967367,127.142679,음식점
